,number,value,datetime_start,datetime_complete,duration,params_batchind,params_batchnormalization,params_batchnormalization0,params_batchnormalization1,params_batchnormalization2,params_batchnormalization3,params_batchnormalization4,params_batchnormalization5,params_batchnormalization6,params_dropout,params_epochs,params_filtersind0,params_filtersind1,params_filtersind2,params_filtersind3,params_filtersind4,params_filtersind5,params_filtersind6,params_kernel_size0,params_kernel_size1,params_kernel_size2,params_kernel_size3,params_kernel_size4,params_kernel_size5,params_kernel_size6,params_learnind,params_maxpooling,params_maxpooling0,params_maxpooling1,params_maxpooling2,params_maxpooling3,params_maxpooling4,params_maxpooling5,params_maxpooling6,params_n_conv_layers,params_n_dense_layers,params_num_hidden_neurons0,params_num_hidden_neurons1,state
32,32,0.7746000289916992,2024-07-28 12:18:25.745112,2024-07-28 12:22:40.208795,0 days 00:04:14.463683,8,True,False,True,True,,,,,0.34,62,8.0,6.0,5.0,,,,,3.0,9.0,3.0,,,,,3,False,True,True,True,,,,,4,1,,,COMPLETE
33,33,0.7720000147819519,2024-07-28 12:22:40.224554,2024-07-28 12:32:37.891155,0 days 00:09:57.666601,6,True,False,True,True,,,,,0.5,58,8.0,5.0,5.0,,,,,3.0,9.0,3.0,,,,,3,False,True,True,True,,,,,4,1,,,COMPLETE
34,34,0.7710000276565552,2024-07-28 12:22:43.595470,2024-07-28 12:27:01.401677,0 days 00:04:17.806207,8,True,False,True,,,,,,0.5,62,8.0,7.0,,,,,,3.0,9.0,,,,,,3,False,True,True,,,,,,3,1,,,COMPLETE
35,35,0.7753999829292297,2024-07-28 12:27:01.418910,2024-07-28 12:30:31.872408,0 days 00:03:30.453498,9,True,False,True,,,,,,0.49,59,8.0,7.0,,,,,,3.0,3.0,,,,,,3,False,True,True,,,,,,3,1,,,COMPLETE
36,36,0.22509999573230743,2024-07-28 12:30:31.881438,2024-07-28 12:32:14.371324,0 days 00:01:42.489886,9,True,True,True,,,,,,0.49,55,8.0,7.0,,,,,,3.0,3.0,,,,,,2,False,True,True,,,,,,3,3,122.0,7.0,COMPLETE
37,37,0.7171000242233276,2024-07-28 12:32:14.384864,2024-07-28 12:39:32.621966,0 days 00:07:18.237102,9,True,False,True,,,,,,0.48,45,8.0,7.0,,,,,,3.0,3.0,,,,,,3,False,False,True,,,,,,3,1,,,COMPLETE
38,38,0.375900000333786,2024-07-28 12:32:37.912326,2024-07-28 12:38:17.360675,0 days 00:05:39.448349,10,True,True,False,True,True,False,,,0.47000000000000003,41,8.0,7.0,6.0,6.0,7.0,,,3.0,3.0,3.0,3.0,5.0,,,2,False,False,True,True,False,True,,,6,1,,,COMPLETE
39,39,0.7732999920845032,2024-07-28 12:38:17.376575,2024-07-28 12:45:24.417778,0 days 00:07:07.041203,9,True,False,True,True,True,False,,,0.38,80,8.0,5.0,6.0,6.0,6.0,,,5.0,3.0,3.0,9.0,9.0,,,3,False,True,True,True,False,True,,,6,1,,,COMPLETE
40,40,0.7892000079154968,2024-07-28 12:39:32.638007,2024-07-28 12:52:04.935448,0 days 00:12:32.297441,8,True,True,False,True,True,False,,,0.42,19,8.0,5.0,6.0,6.0,6.0,,,7.0,11.0,3.0,9.0,9.0,,,3,False,True,False,True,False,True,,,6,1,,,COMPLETE
41,41,0.7603999972343445,2024-07-28 12:45:24.438601,2024-07-28 12:58:48.686961,0 days 00:13:24.248360,9,True,True,False,True,True,False,,,0.34,88,8.0,8.0,6.0,6.0,6.0,,,5.0,3.0,11.0,9.0,9.0,,,2,False,True,False,True,False,True,,,6,1,,,COMPLETE
42,42,0.7720999717712402,2024-07-28 12:52:04.950724,2024-07-28 13:03:10.815841,0 days 00:11:05.865117,9,True,True,False,True,True,False,,,0.39,20,8.0,5.0,6.0,6.0,6.0,,,7.0,11.0,3.0,9.0,9.0,,,3,False,True,False,True,False,True,,,6,1,,,COMPLETE
43,43,0.7904999852180481,2024-07-28 12:58:48.704091,2024-07-28 13:10:12.538448,0 days 00:11:23.834357,8,True,True,False,True,True,False,,,0.43,18,8.0,5.0,6.0,6.0,6.0,,,7.0,11.0,3.0,9.0,9.0,,,3,False,True,False,True,False,True,,,6,1,,,COMPLETE
44,44,0.7667999863624573,2024-07-28 13:03:10.834473,2024-07-28 13:14:12.251339,0 days 00:11:01.416866,8,True,True,False,True,True,False,,,0.44,25,8.0,5.0,6.0,7.0,7.0,,,7.0,11.0,3.0,9.0,9.0,,,4,False,True,False,True,False,True,,,6,1,,,COMPLETE
45,45,0.7652999758720398,2024-07-28 13:10:12.559189,2024-07-28 13:30:44.500905,0 days 00:20:31.941716,8,True,True,False,True,True,False,False,,0.43,29,8.0,5.0,7.0,6.0,6.0,7.0,,7.0,11.0,3.0,9.0,9.0,5.0,,4,False,True,False,True,False,True,False,,7,1,,,COMPLETE
46,46,0.10000000149011612,2024-07-28 13:14:12.266984,2024-07-28 13:28:39.269560,0 days 00:14:27.002576,10,True,True,False,True,True,False,False,,0.43,81,8.0,7.0,8.0,6.0,6.0,7.0,,7.0,11.0,3.0,9.0,9.0,5.0,,3,False,False,False,True,False,True,False,,7,3,14.0,112.0,COMPLETE
47,47,0.804099977016449,2024-07-28 13:28:39.285396,2024-07-28 13:34:59.461999,0 days 00:06:20.176603,8,True,True,False,True,True,False,True,,0.34,32,8.0,5.0,7.0,5.0,6.0,7.0,,7.0,5.0,3.0,9.0,9.0,11.0,,3,False,True,False,True,False,True,True,,7,1,,,COMPLETE
48,48,0.7786999940872192,2024-07-28 13:30:44.519498,2024-07-28 13:36:18.755471,0 days 00:05:34.235973,8,True,False,False,True,True,False,True,True,0.34,11,5.0,6.0,6.0,5.0,6.0,6.0,5.0,5.0,5.0,3.0,9.0,9.0,11.0,11.0,3,False,True,False,True,False,True,True,,8,1,,,COMPLETE
49,49,0.8051000237464905,2024-07-28 13:34:59.461999,2024-07-28 13:53:24.072532,0 days 00:18:24.610533,8,True,True,False,False,True,False,True,True,0.34,46,5.0,6.0,8.0,5.0,7.0,6.0,5.0,7.0,5.0,7.0,9.0,9.0,11.0,11.0,2,False,False,False,True,False,True,True,True,8,1,,,COMPLETE
50,50,0.7421000003814697,2024-07-28 13:36:18.773910,2024-07-28 13:52:56.577180,0 days 00:16:37.803270,8,True,True,False,False,True,False,True,True,0.42,12,5.0,8.0,7.0,5.0,6.0,6.0,5.0,7.0,5.0,7.0,9.0,9.0,11.0,11.0,2,False,False,False,True,False,True,True,True,8,1,,,COMPLETE
