,ID,testfold,validationfold,exp_mean_loss,loss,accuracy,time
50,IR2,1,5,0.787989998,0.9350565671920776,0.7473999857902527,143.68918085098267
51,IR2,2,5,0.787989998,0.9249086976051331,0.7627000212669373,158.84171533584595
52,IR2,3,5,0.787989998,0.9024204015731812,0.79339998960495,196.1324713230133
53,IR2,4,5,0.787989998,0.9561140537261963,0.7736999988555908,166.1481475830078
54,IR2,5,5,0.787989998,0.882388174533844,0.7635999917984009,136.00861740112305
55,IR2,1,6,0.787989998,1.0054682493209839,0.7479000091552734,159.01164960861206
56,IR2,2,6,0.787989998,0.8047899603843689,0.7817999720573425,136.6305820941925
57,IR2,3,6,0.787989998,0.9324177503585815,0.7639999985694885,143.90258717536926
58,IR2,4,6,0.787989998,0.9135242104530334,0.7752000093460083,174.19189429283142
59,IR2,5,6,0.787989998,1.0344481468200684,0.7656999826431274,204.1696012020111
60,IR3,1,1,0.758814996,1.0708329677581787,0.7590000033378601,410.0124568939209
61,IR3,2,1,0.758814996,1.030825138092041,0.7336999773979187,315.4273762702942
62,IR3,3,1,0.758814996,1.0435974597930908,0.7304999828338623,346.8898894786835
63,IR3,4,1,0.758814996,1.0044609308242798,0.7379999756813049,346.6810007095337
64,IR3,5,1,0.758814996,1.0576119422912598,0.7351999878883362,346.66454434394836
65,IR3,1,2,0.758814996,1.041391134262085,0.7416999936103821,346.9529535770416
66,IR3,2,2,0.758814996,1.0505409240722656,0.753000020980835,378.36702132225037
67,IR3,3,2,0.758814996,1.519575834274292,0.7059999704360962,409.6595389842987
68,IR3,4,2,0.758814996,1.036834478378296,0.7476000189781189,378.4838409423828
69,IR3,5,2,0.758814996,1.1647616624832153,0.7139999866485596,378.13106060028076
70,IR3,1,3,0.758814996,1.0160940885543823,0.7480000257492065,347.08375549316406
71,IR3,2,3,0.758814996,1.0450423955917358,0.7479000091552734,378.20376658439636
72,IR3,3,3,0.758814996,1.109725832939148,0.7447999715805054,378.435138463974
73,IR3,4,3,0.758814996,1.0959956645965576,0.7401999831199646,377.83616375923157
74,IR3,5,3,0.758814996,1.030212640762329,0.7519999742507935,378.07591462135315
75,IR3,1,4,0.758814996,1.1974235773086548,0.7240999937057495,408.9524784088135
76,IR3,2,4,0.758814996,1.1551381349563599,0.7317000031471252,409.75736474990845
77,IR3,3,4,0.758814996,1.1689198017120361,0.7253000140190125,346.4851644039154
78,IR3,4,4,0.758814996,1.1234992742538452,0.7491000294685364,378.2429759502411
79,IR3,5,4,0.758814996,1.1906803846359253,0.7271000146865845,409.8549292087555
80,IR3,1,5,0.758814996,1.0004993677139282,0.7249000072479248,346.94172739982605
