,number,value,datetime_start,datetime_complete,duration,params_batchind,params_batchnormalization0,params_batchnormalization1,params_batchnormalization2,params_batchnormalization3,params_batchnormalization4,params_batchnormalization5,params_batchnormalization6,params_batchnormalization7,params_dropout,params_epochs,params_filtersind1,params_filtersind2,params_filtersind3,params_filtersind4,params_filtersind5,params_filtersind6,params_filtersind7,params_kernel_size1,params_kernel_size2,params_kernel_size3,params_kernel_size4,params_kernel_size5,params_kernel_size6,params_kernel_size7,params_learnind,params_maxpooling0,params_maxpooling1,params_maxpooling2,params_maxpooling3,params_maxpooling4,params_maxpooling5,params_maxpooling6,params_maxpooling7,params_n_conv_layers,params_n_dense_layers,params_num_hidden_neurons0,params_num_hidden_neurons1,state
35,35,0.7227383852005005,2024-06-28 06:59:53.164206,2024-06-28 07:23:42.454127,0 days 00:23:49.289921,4,False,True,False,True,True,True,False,,0.2213419998709208,130,8.0,8.0,6.0,7.0,5.0,6.0,,3.0,9.0,9.0,5.0,9.0,7.0,,4,False,True,False,True,True,True,,,7,3,8.0,119.0,COMPLETE
36,36,2.448942184448242,2024-06-28 07:13:40.225412,2024-06-28 07:25:37.428475,0 days 00:11:57.203063,4,False,True,False,True,True,True,False,,0.2109238912889289,97,6.0,8.0,6.0,7.0,5.0,6.0,,3.0,9.0,9.0,5.0,9.0,7.0,,2,False,True,False,True,True,True,,,7,3,26.0,118.0,COMPLETE
37,37,0.9696372151374817,2024-06-28 07:23:42.475753,2024-06-28 07:35:28.848138,0 days 00:11:46.372385,4,False,True,False,True,True,True,False,,0.16540713450300687,159,8.0,8.0,6.0,6.0,5.0,6.0,,3.0,3.0,3.0,5.0,5.0,7.0,,5,False,True,True,True,True,,,,7,3,29.0,126.0,COMPLETE
38,38,21.764427185058594,2024-06-28 07:25:37.448198,2024-06-28 07:43:33.379822,0 days 00:17:55.931624,4,False,True,False,True,False,True,False,True,0.13189239243436196,215,8.0,8.0,6.0,6.0,7.0,6.0,7.0,5.0,3.0,3.0,5.0,5.0,7.0,9.0,0,True,True,True,True,,,,,8,3,8.0,45.0,COMPLETE
39,39,17.21776008605957,2024-06-28 07:35:28.863957,2024-06-28 07:47:54.075178,0 days 00:12:25.211221,4,False,True,False,True,False,True,False,True,0.22704626314053014,226,8.0,8.0,5.0,6.0,7.0,7.0,7.0,5.0,5.0,3.0,5.0,7.0,11.0,9.0,0,True,True,False,True,True,,,,8,3,8.0,43.0,COMPLETE
40,40,1.0608460903167725,2024-06-28 07:43:33.401361,2024-06-28 07:58:35.311116,0 days 00:15:01.909755,4,False,False,False,True,True,False,True,,0.2242993047479242,126,8.0,8.0,5.0,7.0,6.0,7.0,,5.0,5.0,9.0,5.0,7.0,11.0,,4,True,True,False,True,True,,,,7,3,7.0,45.0,COMPLETE
41,41,0.9036643505096436,2024-06-28 07:47:54.090968,2024-06-28 08:27:08.548023,0 days 00:39:14.457055,6,False,False,True,True,True,False,True,,0.45191202781062856,124,8.0,6.0,5.0,7.0,6.0,7.0,,11.0,9.0,9.0,9.0,9.0,5.0,,4,False,True,False,False,True,False,False,,7,3,17.0,52.0,COMPLETE
42,42,0.8048278093338013,2024-06-28 07:58:35.327270,2024-06-28 08:16:19.350804,0 days 00:17:44.023534,5,False,True,False,True,True,True,,,0.27147860248361017,114,7.0,6.0,7.0,7.0,5.0,,,3.0,9.0,9.0,7.0,9.0,,,3,False,True,False,True,True,True,,,6,2,4.0,,COMPLETE
43,43,0.7536314725875854,2024-06-28 08:16:19.366640,2024-06-28 08:32:58.566504,0 days 00:16:39.199864,6,False,True,False,True,True,,,,0.3206202562705933,69,7.0,7.0,8.0,7.0,,,,3.0,9.0,9.0,3.0,,,,3,False,True,False,True,True,,,,5,2,14.0,,COMPLETE
44,44,0.7425544857978821,2024-06-28 08:27:08.556512,2024-06-28 08:42:29.219179,0 days 00:15:20.662667,5,False,True,False,False,True,,,,0.3218455621044534,72,7.0,7.0,8.0,5.0,,,,3.0,9.0,9.0,7.0,,,,3,False,True,False,True,True,,,,5,2,6.0,,COMPLETE
45,45,1.033464789390564,2024-06-28 08:32:58.566504,2024-06-28 08:48:58.836778,0 days 00:16:00.270274,5,True,True,False,False,True,True,,,0.17551432332006273,293,6.0,5.0,7.0,5.0,5.0,,,3.0,9.0,5.0,7.0,9.0,,,5,False,True,False,True,True,True,,,6,2,17.0,,COMPLETE
46,46,1.1051270961761475,2024-06-28 08:42:29.236803,2024-06-28 09:17:10.985512,0 days 00:34:41.748709,5,False,True,True,False,True,,,,0.3667405731247927,87,6.0,5.0,8.0,5.0,,,,3.0,3.0,5.0,11.0,,,,5,False,True,False,True,True,,,,5,2,6.0,,COMPLETE
47,47,1.7637990713119507,2024-06-28 08:48:58.845085,2024-06-28 09:03:25.919376,0 days 00:14:27.074291,7,False,False,True,False,True,,,,0.3269099079486174,27,8.0,6.0,8.0,5.0,,,,3.0,7.0,7.0,7.0,,,,2,False,True,False,True,True,,,,5,2,6.0,,COMPLETE
48,48,0.690428614616394,2024-06-28 09:03:25.931558,2024-06-28 09:15:35.376910,0 days 00:12:09.445352,4,False,True,False,False,False,,,,0.3666380445046361,76,7.0,8.0,8.0,5.0,,,,9.0,3.0,5.0,3.0,,,,4,False,True,False,True,False,,,,5,1,,,COMPLETE
49,49,0.8617252707481384,2024-06-28 09:15:35.392918,2024-06-28 09:40:13.039204,0 days 00:24:37.646286,4,False,True,True,False,False,True,False,,0.3731878675251297,87,8.0,8.0,8.0,8.0,5.0,5.0,,9.0,3.0,5.0,3.0,11.0,7.0,,5,True,False,False,False,False,False,True,,7,1,,,COMPLETE
50,50,2.323025703430176,2024-06-28 09:17:11.007179,2024-06-28 09:25:12.983945,0 days 00:08:01.976766,4,False,False,False,False,False,True,False,,0.49992445183826884,44,8.0,8.0,6.0,8.0,5.0,5.0,,9.0,3.0,5.0,3.0,11.0,7.0,,1,True,False,True,False,False,False,True,,7,1,,,COMPLETE
51,51,0.8179360628128052,2024-06-28 09:25:13.001479,2024-06-28 09:41:21.236453,0 days 00:16:08.234974,4,False,True,False,False,False,True,False,False,0.4483803965005724,141,7.0,8.0,6.0,5.0,6.0,6.0,6.0,9.0,3.0,5.0,3.0,7.0,5.0,11.0,4,False,True,False,True,False,False,True,True,8,1,,,COMPLETE
52,52,0.8043298721313477,2024-06-28 09:40:13.060386,2024-06-28 10:06:47.522296,0 days 00:26:34.461910,4,False,True,False,False,False,,,,0.35202352310814733,66,7.0,8.0,8.0,5.0,,,,9.0,3.0,11.0,3.0,,,,4,False,True,False,True,False,,,,5,1,,,COMPLETE
