,number,value,datetime_start,datetime_complete,duration,params_batchind,params_batchnormalization0,params_batchnormalization1,params_batchnormalization2,params_batchnormalization3,params_batchnormalization4,params_batchnormalization5,params_batchnormalization6,params_batchnormalization7,params_dropout,params_epochs,params_filtersind1,params_filtersind2,params_filtersind3,params_filtersind4,params_filtersind5,params_filtersind6,params_filtersind7,params_kernel_size1,params_kernel_size2,params_kernel_size3,params_kernel_size4,params_kernel_size5,params_kernel_size6,params_kernel_size7,params_learnind,params_maxpooling0,params_maxpooling1,params_maxpooling2,params_maxpooling3,params_maxpooling4,params_maxpooling5,params_maxpooling6,params_maxpooling7,params_n_conv_layers,params_n_dense_layers,params_num_hidden_neurons0,params_num_hidden_neurons1,state
161,161,0.7579537630081177,2024-06-29 01:21:21.247544,2024-06-29 01:31:55.113207,0 days 00:10:33.865663,5,False,False,False,True,True,,,,0.19130774580270035,14,5.0,8.0,6.0,7.0,,,,5.0,9.0,7.0,11.0,,,,3,False,True,False,True,True,,,,5,2,57.0,,COMPLETE
162,162,3.4284913539886475,2024-06-29 01:25:52.995527,2024-06-29 01:56:08.072535,0 days 00:30:15.077008,4,False,True,False,True,True,,,,0.11367303510804495,15,8.0,8.0,6.0,7.0,,,,5.0,9.0,7.0,7.0,,,,1,False,True,False,True,True,,,,5,2,58.0,,COMPLETE
163,163,0.7657837271690369,2024-06-29 01:31:55.131769,2024-06-29 02:28:29.606873,0 days 00:56:34.475104,4,False,True,False,True,True,,,,0.11620153222799645,34,8.0,8.0,6.0,7.0,,,,5.0,9.0,7.0,7.0,,,,3,False,True,False,True,True,,,,5,2,45.0,,COMPLETE
164,164,0.6779605150222778,2024-06-29 01:56:08.087690,2024-06-29 02:35:25.223176,0 days 00:39:17.135486,4,False,True,False,True,True,,,,0.1201160283165931,35,8.0,8.0,6.0,7.0,,,,5.0,9.0,7.0,7.0,,,,3,False,True,False,True,True,,,,5,2,46.0,,COMPLETE
165,165,0.6353049874305725,2024-06-29 02:28:29.623869,2024-06-29 03:20:45.002107,0 days 00:52:15.378238,4,False,True,False,True,True,,,,0.4738373728206417,24,8.0,8.0,6.0,7.0,,,,5.0,9.0,7.0,7.0,,,,3,False,True,False,True,True,,,,5,2,54.0,,COMPLETE
166,166,0.6777330040931702,2024-06-29 02:35:25.232613,2024-06-29 03:23:23.177189,0 days 00:47:57.944576,4,False,True,False,True,True,,,,0.12561878752635441,25,8.0,8.0,6.0,7.0,,,,5.0,9.0,7.0,7.0,,,,3,False,True,False,True,True,,,,5,2,54.0,,COMPLETE
167,167,0.7435533404350281,2024-06-29 03:20:45.017813,2024-06-29 04:15:01.027920,0 days 00:54:16.010107,4,False,True,False,True,True,,,,0.48521479187434624,25,8.0,8.0,6.0,7.0,,,,5.0,9.0,7.0,7.0,,,,3,False,True,False,True,True,,,,5,2,53.0,,COMPLETE
168,168,0.7172949910163879,2024-06-29 03:23:23.190083,2024-06-29 04:00:26.395633,0 days 00:37:03.205550,4,False,True,False,True,True,,,,0.12798983208053938,39,8.0,8.0,6.0,7.0,,,,5.0,9.0,7.0,7.0,,,,3,False,True,False,True,True,,,,5,2,52.0,,COMPLETE
169,169,0.6877244114875793,2024-06-29 04:00:26.411806,2024-06-29 04:54:46.905160,0 days 00:54:20.493354,4,False,True,False,True,True,,,,0.4692089112011496,25,8.0,8.0,6.0,7.0,,,,5.0,9.0,7.0,7.0,,,,3,False,True,False,True,True,,,,5,2,53.0,,COMPLETE
170,170,0.7638920545578003,2024-06-29 04:15:01.043837,2024-06-29 04:45:31.779038,0 days 00:30:30.735201,4,False,True,True,True,True,,,,0.15825795569880224,34,8.0,8.0,6.0,7.0,,,,5.0,9.0,7.0,7.0,,,,3,False,True,False,True,True,,,,5,2,62.0,,COMPLETE
171,171,0.7343781590461731,2024-06-29 04:45:31.795435,2024-06-29 05:31:10.104912,0 days 00:45:38.309477,4,False,True,False,True,True,,,,0.10920001741827515,25,8.0,8.0,6.0,7.0,,,,5.0,9.0,7.0,7.0,,,,3,False,True,False,True,True,,,,5,2,43.0,,COMPLETE
172,172,0.7265202403068542,2024-06-29 04:54:46.927535,2024-06-29 05:38:20.938038,0 days 00:43:34.010503,4,False,True,False,True,True,,,,0.10997917383049965,26,8.0,8.0,6.0,7.0,,,,5.0,9.0,7.0,7.0,,,,3,False,True,False,True,True,,,,5,2,51.0,,COMPLETE
173,173,0.7102324962615967,2024-06-29 05:31:10.121489,2024-06-29 05:52:56.336624,0 days 00:21:46.215135,4,False,True,False,True,True,,,,0.4659288054678018,10,8.0,8.0,6.0,7.0,,,,5.0,9.0,7.0,7.0,,,,3,False,True,False,True,True,,,,5,2,50.0,,COMPLETE
174,174,0.844003438949585,2024-06-29 05:38:20.953905,2024-06-29 06:00:08.116718,0 days 00:21:47.162813,4,False,True,False,True,True,,,,0.4593001234144315,10,8.0,8.0,6.0,7.0,,,,5.0,9.0,7.0,7.0,,,,3,False,True,False,True,True,,,,5,2,55.0,,COMPLETE
175,175,0.7084911465644836,2024-06-29 05:52:56.358328,2024-06-29 06:40:48.034158,0 days 00:47:51.675830,4,False,True,False,True,True,,,,0.4649251021359892,33,8.0,8.0,6.0,7.0,,,,5.0,9.0,7.0,7.0,,,,3,False,True,False,True,True,,,,5,2,55.0,,COMPLETE
176,176,0.7215218544006348,2024-06-29 06:00:08.133876,2024-06-29 06:43:45.074394,0 days 00:43:36.940518,4,False,True,False,True,True,,,,0.4776092074596941,33,8.0,8.0,6.0,7.0,,,,5.0,9.0,7.0,7.0,,,,3,False,True,False,True,True,,,,5,2,72.0,,COMPLETE
177,177,0.6483747363090515,2024-06-29 06:40:48.050555,2024-06-29 07:19:53.216548,0 days 00:39:05.165993,4,False,True,False,True,True,,,,0.09730332474461963,18,8.0,8.0,6.0,7.0,,,,5.0,9.0,7.0,7.0,,,,3,False,True,False,True,True,,,,5,2,46.0,,COMPLETE
178,178,0.6510177850723267,2024-06-29 06:43:45.074394,2024-06-29 07:22:53.106442,0 days 00:39:08.032048,4,False,True,False,True,True,,,,0.13948183319925594,18,8.0,8.0,6.0,7.0,,,,5.0,9.0,7.0,7.0,,,,3,False,True,False,True,True,,,,5,2,46.0,,COMPLETE
179,179,0.665508508682251,2024-06-29 07:19:53.234403,2024-06-29 07:59:00.794677,0 days 00:39:07.560274,4,False,True,False,True,True,,,,0.13784517874018098,18,8.0,8.0,6.0,7.0,,,,5.0,9.0,7.0,7.0,,,,3,False,True,False,True,True,,,,5,2,43.0,,COMPLETE
180,180,0.8213736414909363,2024-06-29 07:22:53.122459,2024-06-29 08:02:05.274602,0 days 00:39:12.152143,4,False,True,False,True,True,,,,0.13886048709532403,18,8.0,8.0,6.0,7.0,,,,5.0,9.0,7.0,7.0,,,,3,False,True,False,True,True,,,,5,2,46.0,,COMPLETE
181,181,0.742586612701416,2024-06-29 07:59:00.816293,2024-06-29 08:33:50.206907,0 days 00:34:49.390614,4,False,True,False,True,True,,,,0.1398761141762406,17,8.0,8.0,6.0,7.0,,,,5.0,9.0,7.0,7.0,,,,3,False,True,False,True,True,,,,5,2,128.0,,COMPLETE
182,182,0.6617538928985596,2024-06-29 08:02:05.290599,2024-06-29 08:39:08.148941,0 days 00:37:02.858342,4,False,True,False,True,True,,,,0.15097354669759197,21,8.0,8.0,6.0,7.0,,,,5.0,9.0,7.0,7.0,,,,3,False,True,False,True,True,,,,5,2,49.0,,COMPLETE
183,183,0.678546130657196,2024-06-29 08:33:50.225098,2024-06-29 09:23:47.916013,0 days 00:49:57.690915,4,False,True,False,True,True,,,,0.4992512122450077,23,8.0,8.0,6.0,7.0,,,,5.0,9.0,7.0,7.0,,,,3,False,True,False,True,True,,,,5,2,47.0,,COMPLETE
184,184,0.6918637752532959,2024-06-29 08:39:08.165090,2024-06-29 09:24:51.278057,0 days 00:45:43.112967,4,False,True,False,True,True,,,,0.1710861498263725,21,8.0,8.0,6.0,7.0,,,,5.0,9.0,7.0,7.0,,,,3,False,True,False,True,True,,,,5,2,46.0,,COMPLETE
185,185,0.7026287317276001,2024-06-29 09:23:47.930668,2024-06-29 10:11:32.162283,0 days 00:47:44.231615,4,False,True,False,True,True,,,,0.4899987441856384,22,8.0,8.0,6.0,7.0,,,,5.0,9.0,7.0,7.0,,,,3,False,True,False,True,True,,,,5,2,38.0,,COMPLETE
186,186,0.8068492412567139,2024-06-29 09:24:51.293943,2024-06-29 10:12:40.388637,0 days 00:47:49.094694,4,False,True,False,True,True,,,,0.4972155245953279,22,8.0,8.0,6.0,7.0,,,,5.0,9.0,7.0,7.0,,,,3,False,True,False,True,True,,,,5,2,37.0,,COMPLETE
187,187,0.9247238039970398,2024-06-29 10:11:32.180004,2024-06-29 10:40:32.125833,0 days 00:28:59.945829,4,False,True,False,True,True,,,,0.49490356656289763,39,8.0,8.0,6.0,7.0,,,,5.0,9.0,7.0,7.0,,,,3,False,True,True,True,True,,,,5,2,48.0,,COMPLETE
188,188,1.0050479173660278,2024-06-29 10:12:40.406816,2024-06-29 11:32:20.680948,0 days 01:19:40.274132,4,False,True,False,True,True,,,,0.15226743695902875,15,8.0,8.0,6.0,7.0,,,,5.0,9.0,7.0,7.0,,,,3,False,False,False,True,True,,,,5,2,43.0,,COMPLETE
189,189,0.880090057849884,2024-06-29 10:40:32.142417,2024-06-29 12:11:47.682687,0 days 01:31:15.540270,4,False,True,False,True,True,,,,0.15195991931034242,28,8.0,8.0,6.0,7.0,,,,5.0,9.0,7.0,7.0,,,,3,False,False,False,True,True,,,,5,2,43.0,,COMPLETE
